cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
2807903031;28079;Madrid;Madrid;48314;20076
2807903032;28079;Madrid;Madrid;51418;22043
2807903033;28079;Madrid;Madrid;47038;18502
2807903034;28079;Madrid;Madrid;60286;21977
2807903035;28079;Madrid;Madrid;59995;23326
2807903036;28079;Madrid;Madrid;74525;25153
2807903037;28079;Madrid;Madrid;79113;26371
2807903038;28079;Madrid;Madrid;71900;24507
2807903039;28079;Madrid;Madrid;75853;25748
2807903040;28079;Madrid;Madrid;72201;24581
2807903041;28079;Madrid;Madrid;58766;23124
2807903042;28079;Madrid;Madrid;53622;21972
2807903044;28079;Madrid;Madrid;62275;24888
2807903045;28079;Madrid;Madrid;63675;24889
2807903046;28079;Madrid;Madrid;67139;24783
2807903047;28079;Madrid;Madrid;47640;19709
2807903048;28079;Madrid;Madrid;55785;21883
2807903049;28079;Madrid;Madrid;52897;20995
2807903050;28079;Madrid;Madrid;46353;22001
2807903051;28079;Madrid;Madrid;52952;21483
2807903052;28079;Madrid;Madrid;52784;20819
2807903053;28079;Madrid;Madrid;42870;17596
2807903054;28079;Madrid;Madrid;54092;23011
2807903055;28079;Madrid;Madrid;32597;16299
2807903056;28079;Madrid;Madrid;54760;21363
2807903057;28079;Madrid;Madrid;49843;21057
2807903058;28079;Madrid;Madrid;42036;19501
2807903059;28079;Madrid;Madrid;47726;20424
2807903060;28079;Madrid;Madrid;47195;23029
2807903061;28079;Madrid;Madrid;36501;18054
2807903062;28079;Madrid;Madrid;45132;20713
2807903063;28079;Madrid;Madrid;49808;21492
2807903064;28079;Madrid;Madrid;54114;21702
2807903065;28079;Madrid;Madrid;57029;23527
2807903066;28079;Madrid;Madrid;52429;21959
2807903067;28079;Madrid;Madrid;70660;29235
2807903069;28079;Madrid;Madrid;91933;32242
2807903070;28079;Madrid;Madrid;91933;32242
2807903071;28079;Madrid;Madrid;91933;32242
2807903073;28079;Madrid;Madrid;56795;23072
2807903074;28079;Madrid;Madrid;56063;22620
2807903076;28079;Madrid;Madrid;62560;24761
2807903077;28079;Madrid;Madrid;68803;26341
2807903078;28079;Madrid;Madrid;71943;25960
2807903079;28079;Madrid;Madrid;47623;20738
2807903080;28079;Madrid;Madrid;79480;27133
2807903081;28079;Madrid;Madrid;91933;32242
2807903082;28079;Madrid;Madrid;91933;32242
2807903084;28079;Madrid;Madrid;71772;25111
2807903085;28079;Madrid;Madrid;65833;24785
2807903086;28079;Madrid;Madrid;57196;22813
2807903087;28079;Madrid;Madrid;69370;25291
2807903088;28079;Madrid;Madrid;48705;20603
2807903089;28079;Madrid;Madrid;60141;21945
2807903090;28079;Madrid;Madrid;75141;25730
2807903091;28079;Madrid;Madrid;73926;25557
2807903092;28079;Madrid;Madrid;69464;26096
2807903093;28079;Madrid;Madrid;83331;29262
2807903094;28079;Madrid;Madrid;76566;25394
2807903095;28079;Madrid;Madrid;58467;23011
2807903096;28079;Madrid;Madrid;59760;23365
2807903097;28079;Madrid;Madrid;52246;19036
2807903098;28079;Madrid;Madrid;42550;18425
2807903099;28079;Madrid;Madrid;43264;19901
2807903100;28079;Madrid;Madrid;53397;21515
2807904001;28079;Madrid;Madrid;80152;32242
2807904002;28079;Madrid;Madrid;91933;32242
2807904003;28079;Madrid;Madrid;76407;32242
2807904004;28079;Madrid;Madrid;91933;32242
2807904005;28079;Madrid;Madrid;91933;32242
2807904006;28079;Madrid;Madrid;91933;32242
2807904007;28079;Madrid;Madrid;88066;32242
2807904008;28079;Madrid;Madrid;54896;25248
2807904009;28079;Madrid;Madrid;80915;29924
2807904010;28079;Madrid;Madrid;91933;32242
2807904011;28079;Madrid;Madrid;78183;31616
2807904012;28079;Madrid;Madrid;91933;32242
2807904013;28079;Madrid;Madrid;84935;32242
2807904014;28079;Madrid;Madrid;62943;26332
2807904015;28079;Madrid;Madrid;70273;29770
2807904016;28079;Madrid;Madrid;60673;26971
2807904017;28079;Madrid;Madrid;65520;28411
2807904018;28079;Madrid;Madrid;58753;26702
2807904019;28079;Madrid;Madrid;54321;23534
2807904020;28079;Madrid;Madrid;58699;28329
2807904021;28079;Madrid;Madrid;49675;22039
2807904023;28079;Madrid;Madrid;56441;26108
2807904024;28079;Madrid;Madrid;39385;18601
2807904025;28079;Madrid;Madrid;45106;22297
2807904026;28079;Madrid;Madrid;51990;22944
2807904027;28079;Madrid;Madrid;44524;18843
2807904028;28079;Madrid;Madrid;46585;21163
2807904029;28079;Madrid;Madrid;65361;28434
2807904030;28079;Madrid;Madrid;50926;22177
2807904031;28079;Madrid;Madrid;64787;26497
2807904032;28079;Madrid;Madrid;42159;19479
2807904033;28079;Madrid;Madrid;47060;21496
2807904034;28079;Madrid;Madrid;54843;23019
2807904035;28079;Madrid;Madrid;50969;23142
2807904036;28079;Madrid;Madrid;57282;24644
2807904037;28079;Madrid;Madrid;46499;20951
2807904038;28079;Madrid;Madrid;48094;21596
2807904039;28079;Madrid;Madrid;49050;23082
2807904040;28079;Madrid;Madrid;67916;26977
2807904041;28079;Madrid;Madrid;44783;19904
2807904042;28079;Madrid;Madrid;79723;30681
2807904043;28079;Madrid;Madrid;57325;21617
2807904044;28079;Madrid;Madrid;55273;22387
2807904045;28079;Madrid;Madrid;41130;19456
2807904046;28079;Madrid;Madrid;50154;21375
2807904047;28079;Madrid;Madrid;47126;19869
2807904048;28079;Madrid;Madrid;42798;18423
2807904049;28079;Madrid;Madrid;34686;16422
2807904050;28079;Madrid;Madrid;40428;17482
2807904051;28079;Madrid;Madrid;39557;17605
2807904052;28079;Madrid;Madrid;42344;19123
2807904053;28079;Madrid;Madrid;35986;17323
2807904054;28079;Madrid;Madrid;48396;19937
2807904055;28079;Madrid;Madrid;44884;20696
2807904056;28079;Madrid;Madrid;51179;22180
2807904057;28079;Madrid;Madrid;41166;18729
2807904058;28079;Madrid;Madrid;42300;18884
2807904060;28079;Madrid;Madrid;39423;17502
2807904061;28079;Madrid;Madrid;70737;28236
2807904062;28079;Madrid;Madrid;46359;20030
2807904063;28079;Madrid;Madrid;44230;18062
2807904064;28079;Madrid;Madrid;53472;24429
2807904065;28079;Madrid;Madrid;45393;20241
2807904067;28079;Madrid;Madrid;46346;21596
2807904068;28079;Madrid;Madrid;49787;21586
2807904069;28079;Madrid;Madrid;48580;20907
2807904070;28079;Madrid;Madrid;40836;17531
2807904071;28079;Madrid;Madrid;49008;19241
2807904072;28079;Madrid;Madrid;50774;21217
2807904073;28079;Madrid;Madrid;58809;24062
2807904074;28079;Madrid;Madrid;47913;20087
